deepseek-V3 [schema-based] sample 1: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 2: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 3: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 4: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 5: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 6: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 7: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 8: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 9: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 10: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 11: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 12: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 13: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 14: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 15: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 16: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 17: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 18: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 19: 1 attempt(s), SUCCESS
deepseek-V3 [schema-based] sample 20: 1 attempt(s), SUCCESS
