gemma2:9b [schema-based] sample 1: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 2: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 3: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 4: 4 attempt(s), PASS
gemma2:9b [schema-based] sample 5: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 6: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 7: 2 attempt(s), PASS
gemma2:9b [schema-based] sample 8: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 9: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 10: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 11: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 12: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 13: 3 attempt(s), PASS
gemma2:9b [schema-based] sample 14: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 15: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 16: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 17: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 18: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 19: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 20: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 1: 4 attempt(s), PASS
gemma2:9b [schema-based] sample 2: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 3: 5 attempt(s), FAIL
gemma2:9b [schema-based] sample 6: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 8: 2 attempt(s), PASS
gemma2:9b [schema-based] sample 14: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 15: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 18: 1 attempt(s), PASS
gemma2:9b [schema-based] sample 19: 3 attempt(s), PASS
gemma2:9b [schema-based] sample 20: 2 attempt(s), PASS
