gemma3:4b [one-shot] sample 1: 2 attempt(s), PASS
gemma3:4b [one-shot] sample 2: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 3: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 4: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 5: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 6: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 7: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 8: 2 attempt(s), PASS
gemma3:4b [one-shot] sample 9: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 10: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 11: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 12: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 13: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 14: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 15: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 16: 2 attempt(s), PASS
gemma3:4b [one-shot] sample 17: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 18: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 19: 5 attempt(s), FAIL
gemma3:4b [one-shot] sample 20: 5 attempt(s), FAIL
