gemma3:4b [schema-based] sample 1: 1 attempt(s), PASS
gemma3:4b [schema-based] sample 2: 2 attempt(s), PASS
gemma3:4b [schema-based] sample 3: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 4: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 5: 1 attempt(s), PASS
gemma3:4b [schema-based] sample 6: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 7: 2 attempt(s), PASS
gemma3:4b [schema-based] sample 8: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 9: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 10: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 11: 2 attempt(s), PASS
gemma3:4b [schema-based] sample 12: 1 attempt(s), PASS
gemma3:4b [schema-based] sample 13: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 14: 2 attempt(s), PASS
gemma3:4b [schema-based] sample 15: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 16: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 17: 5 attempt(s), FAIL
gemma3:4b [schema-based] sample 18: 2 attempt(s), PASS
gemma3:4b [schema-based] sample 19: 2 attempt(s), PASS
gemma3:4b [schema-based] sample 20: 2 attempt(s), PASS
