qwen2.5:3b [one-shot] sample 1: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 2: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 3: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 4: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 5: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 6: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 7: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 8: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 9: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 10: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 11: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 12: 5 attempt(s), FAIL
qwen2.5:3b [one-shot] sample 13: 2 attempt(s), PASS
qwen2.5:3b [one-shot] sample 14: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 15: 4 attempt(s), PASS
qwen2.5:3b [one-shot] sample 16: 4 attempt(s), PASS
qwen2.5:3b [one-shot] sample 17: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 18: 1 attempt(s), PASS
qwen2.5:3b [one-shot] sample 19: 5 attempt(s), FAIL
qwen2.5:3b [one-shot] sample 20: 3 attempt(s), PASS
