qwen2.5:3b [schema-based] sample 1: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 2: 2 attempt(s), PASS
qwen2.5:3b [schema-based] sample 3: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 4: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 5: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 6: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 7: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 8: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 9: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 10: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 11: 5 attempt(s), FAIL
qwen2.5:3b [schema-based] sample 12: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 13: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 14: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 15: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 16: 5 attempt(s), PASS
qwen2.5:3b [schema-based] sample 17: 1 attempt(s), PASS
qwen2.5:3b [schema-based] sample 18: 5 attempt(s), PASS
qwen2.5:3b [schema-based] sample 19: 5 attempt(s), FAIL
qwen2.5:3b [schema-based] sample 20: 1 attempt(s), PASS
